Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instruction.stopped,instructions.stopped,trial.started,text.started,trial.stopped,text.stopped,distractor.started,text_3.started,distractor.stopped,dist_task.started,text_2.started,polygon.started,text_2.stopped,textbox.started,polygon.stopped,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,dist_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_4.text,textbox_5.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall.started,key_resp.started,word_display.started,textbox_6.started,recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.011785833001340507,0.02441033300056006,0.02441033300056006,17.680722083001456,space,17.56154591700033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
,,,,,,,,,,,,,,,,,,,,17.680770582999685,17.68846037500043,22.714965666000353,22.677634750001744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Time,Reason,Abstract,0,0,0,9,,,,,22.714965666000353,,,,,,,,,,,,,22.70272225000008,22.714965666000353,27.68519654099873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Tree,Flower,Concrete,0,1,1,3,,,,,27.696761166000215,,,,,,,,,,,,,27.68557087500085,27.696761166000215,32.684359291000874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Love,Hate,Abstract,0,2,2,8,,,,,32.69789333299923,,,,,,,,,,,,,32.68469912499859,32.69789333299923,37.6844707909986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Desk,Computer,Concrete,0,3,3,5,,,,,37.69809391599847,,,,,,,,,,,,,37.68480350000027,37.69809391599847,42.6845859999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Thought,Perspective,Abstract,0,4,4,10,,,,,42.695520207998925,,,,,,,,,,,,,42.684916041002,42.695520207998925,47.67845574999956,47.68866875000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Phone,Pen,Concrete,0,5,5,4,,,,,47.68866875000094,,,,,,,,,,,,,47.67873191599938,47.68866875000094,52.67923283300115,52.689076082999236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Car,House,Concrete,0,6,6,1,,,,,52.689076082999236,,,,,,,,,,,,,52.67952525000146,52.689076082999236,57.679584624998824,57.690465374998894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Freedom,Society,Abstract,0,7,7,6,,,,,57.690465374998894,,,,,,,,,,,,,57.67989233299886,57.690465374998894,62.679560332999245,62.69128079100119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Table,Book,Concrete,0,8,8,2,,,,,62.69128079100119,,,,,,,,,,,,,62.6798619580004,62.69128079100119,67.67905724999946,67.69102483299866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Equality,Justice,Abstract,0,9,9,7,,,,,67.69102483299866,,,,,,,,,,,,,67.67939954100075,67.69102483299866,72.68012229099986,72.6905039580015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Lamp,Chair,Concrete,0,10,10,0,,,,,72.6905039580015,,,,,,,,,,,,,72.6804393329985,72.6905039580015,77.68068549999953,77.69205508300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Emotion,Concept,Abstract,0,11,11,11,,,,,77.69205508300001,,,,,,,,,,,,,77.68105033300162,77.69205508300001,82.68105712499892,82.68808733300102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.68113491600161,82.68808733300102,91.68114366599912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.68117141599942,91.6915439580007,96.69415829100035,96.70044329099983,99.67776920799952,99.68624524999905,104.71391070800018,104.71391070800018,106.67996158299866,107.71488487500028,111.66880445800052,112.67432800000097,115.68062691600062,115.68062691600062,120.67100254099932,120.67100254099932,123.66607212500094,123.68194870799925,128.6698105409996,129.67515345799984,132.6812191659992,132.6812191659992,137.67165662499974,137.6661045410001,t,s,c,c,s,,,,,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.6661345829998,137.67165662499974,145.7000276660001,145.65747383300186,,,,,,,,,,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Car,House,Concrete,,,,,0,0,0,1,145.7000276660001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.6796316660002,145.7000276660001,145.7000276660001,145.7000276660001,152.8928770829989,space,7.184800333001476,None,house,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Lamp,Chair,Concrete,,,,,0,1,1,0,152.91007637499933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.89385404100176,152.91007637499933,152.91007637499933,152.91007637499933,158.56758254099987,space,5.649262999999337,None, desk,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Love,Hate,Abstract,,,,,0,2,2,8,158.58385333299884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.568042916002,158.58385333299884,158.58385333299884,158.58385333299884,162.81862633299897,space,4.227399749997858,None, hate,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Table,Book,Concrete,,,,,0,3,3,2,162.83581791599863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.81906241600154,162.83581791599863,162.83581791599863,162.83581791599863,179.9597231660009,space,17.1189876669996,None, books,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Desk,Computer,Concrete,,,,,0,4,4,5,179.97638604099848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.96017783299976,179.97638604099848,179.97638604099848,179.97638604099848,184.76065958300023,space,4.778987999998208,None, computer,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
Equality,Justice,Abstract,,,,,0,5,5,7,184.77748212499864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.7611007500018,184.77748212499864,184.77748212499864,184.77748212499864,189.26096812499964,space,4.475160374997358,None, justice,Anaya,001,2024-12-03_18h55.27.771,word pair verbal,2024.1.5,None,2024-12-03 18h55.49.899978 +0530,
