Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instruction.stopped,instructions.stopped,trial.started,text.started,trial.stopped,text.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,dist_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,dist_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_4.text,textbox_5.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall.started,key_resp.started,word_display.started,textbox_6.started,recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.015124125000511413,0.025938749999113497,0.025938749999113497,18.80366412500007,space,18.741328541998882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
,,,,,,,,,,,,,,,,,,,,18.803701167000327,18.81112575000043,23.82706629200038,23.800732249999783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Equality,Justice,Abstract,0,0,0,7,,,,,23.82706629200038,,,,,,,,,,,,,23.814775667000504,23.82706629200038,28.8077374580007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Thought,Perspective,Abstract,0,1,1,10,,,,,28.83399366699996,,,,,,,,,,,,,28.80809045800015,28.83399366699996,33.807550375000574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Lamp,Chair,Concrete,0,2,2,0,,,,,33.82054508299916,,,,,,,,,,,,,33.80787991699981,33.82054508299916,38.806918124999356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Tree,Flower,Concrete,0,3,3,3,,,,,38.818493958000545,,,,,,,,,,,,,38.80723837500045,38.818493958000545,43.801905416999944,43.81268870799977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Phone,Pen,Concrete,0,4,4,4,,,,,43.81268870799977,,,,,,,,,,,,,43.80221729199911,43.81268870799977,48.80176154199944,48.81373841700042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Love,Hate,Abstract,0,5,5,8,,,,,48.81373841700042,,,,,,,,,,,,,48.80207708300077,48.81373841700042,53.80229345800035,53.81400141700033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Desk,Computer,Concrete,0,6,6,5,,,,,53.81400141700033,,,,,,,,,,,,,53.80256916699909,53.81400141700033,58.8026012499995,58.813166750000164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Freedom,Society,Abstract,0,7,7,6,,,,,58.813166750000164,,,,,,,,,,,,,58.80286866700044,58.813166750000164,63.803135542000746,63.81379966699933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Car,House,Concrete,0,8,8,1,,,,,63.81379966699933,,,,,,,,,,,,,63.80344349999905,63.81379966699933,68.80338358299923,68.81526316700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Time,Reason,Abstract,0,9,9,9,,,,,68.81526316700001,,,,,,,,,,,,,68.80365245800022,68.81526316700001,73.80353404199923,73.81510570799946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Table,Book,Concrete,0,10,10,2,,,,,73.81510570799946,,,,,,,,,,,,,73.8038002079993,73.81510570799946,78.80368908299897,78.81480037499932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Emotion,Concept,Abstract,0,11,11,11,,,,,78.81480037499932,,,,,,,,,,,,,78.80395845800012,78.81480037499932,83.80391104199953,83.81107966700074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.80397624999932,83.81107966700074,92.80455258300026,92.79461712500051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.79464441699929,92.80455258300026,97.79819941700043,97.79819941700043,100.79893295799957,100.79893295799957,105.80675858299946,105.80675858299946,107.80000883299908,108.80386924999948,112.79269091700007,113.79710075000003,116.79988658299953,116.79988658299953,121.79433820799932,121.79433820799932,124.78938816700065,124.80090612499953,129.793230416999,130.7978836250004,133.80111116700027,133.80111116700027,138.7957595000007,138.78989691700008,t,s,c,p,s,,,,,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.78992908299915,138.7957595000007,146.79729249999946,146.78052220800055,,,,,,,,,,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Thought,Perspective,Abstract,,,,,0,0,0,10,146.79729249999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.78708183299932,146.81120999999985,146.81120999999985,146.81120999999985,178.77506133299903,space,31.95709100000022,None,positive,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Freedom,Society,Abstract,,,,,0,1,1,6,178.79266541700053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.7758190000004,178.79266541700053,178.79266541700053,178.79266541700053,190.16044166699976,space,11.366316625000763,None, society,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Table,Book,Concrete,,,,,0,2,2,2,190.17721145799987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.16088574999958,190.17721145799987,190.17721145799987,190.17721145799987,197.35476712499985,space,7.165115750000041,None, lamp ,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Phone,Pen,Concrete,,,,,0,3,3,4,197.3684864579991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.35521083300046,197.3684864579991,197.3684864579991,197.3684864579991,200.65164170800017,space,3.2773507500005508,None,pen,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Tree,Flower,Concrete,,,,,0,4,4,3,200.66768795799908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.6520830419995,200.66768795799908,200.66768795799908,200.66768795799908,204.81873437499962,space,4.146613459000946,None, flower,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Desk,Computer,Concrete,,,,,0,5,5,5,204.8344331669996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.81917704199986,204.8344331669996,204.8344331669996,204.8344331669996,208.0684759579999,space,3.2302834170004644,None, book,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Car,House,Concrete,,,,,0,6,6,1,208.09006425000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.06891974999962,208.09006425000007,208.09006425000007,208.09006425000007,211.74323650000042,space,3.650359582999954,None, house,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Time,Reason,Abstract,,,,,0,7,7,9,211.75997308300066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.74367604200052,211.75997308300066,211.75997308300066,211.75997308300066,247.04636779199973,space,35.28501079099988,None, comfort,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Equality,Justice,Abstract,,,,,0,8,8,7,247.0637968329993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.04681320800046,247.0637968329993,247.0637968329993,247.0637968329993,254.57878379199974,space,7.50790274999963,None, justice,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Lamp,Chair,Concrete,,,,,0,9,9,0,254.59531512499962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.57924054199975,254.59531512499962,254.59531512499962,254.59531512499962,259.5198043750006,space,4.919929875000889,None, table,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Emotion,Concept,Abstract,,,,,0,10,10,11,259.5361393330004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.5202525829991,259.5361393330004,259.5361393330004,259.5361393330004,270.24716049999915,space,10.69787550000001,None, language,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
Love,Hate,Abstract,,,,,0,11,11,8,270.26336229200024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2476030830003,270.26336229200024,270.26336229200024,270.26336229200024,273.6714398749991,space,3.4008778750012425,None, hate,Bhoomi,001,2024-12-03_10h07.11.920,word pair verbal,2024.1.5,None,2024-12-03 10h07.49.693221 +0530,
