Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instruction.stopped,instructions.stopped,trial.started,text.started,trial.stopped,text.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,dist_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,dist_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_4.text,textbox_5.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall.started,key_resp.started,word_display.started,textbox_6.started,recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.014990540999860968,0.029037832999165403,0.029037832999165403,25.841732332999527,space,25.771863250000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
,,,,,,,,,,,,,,,,,,,,25.841767290999996,25.849009790999844,30.879352583000582,30.84016587500082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Freedom,Society,Abstract,0,0,0,6,,,,,30.879352583000582,,,,,,,,,,,,,30.867082207998465,30.879352583000582,35.84660020799856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Emotion,Concept,Abstract,0,1,1,11,,,,,35.859280749999016,,,,,,,,,,,,,35.84701804100041,35.859280749999016,40.846826832999795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Car,House,Concrete,0,2,2,1,,,,,40.85978120800064,,,,,,,,,,,,,40.84714774999884,40.85978120800064,45.8472582079994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Phone,Pen,Concrete,0,3,3,4,,,,,45.87347162500009,,,,,,,,,,,,,45.847630374999426,45.87347162500009,50.847082874999614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Lamp,Chair,Concrete,0,4,4,0,,,,,50.873672207999334,,,,,,,,,,,,,50.84740591599984,50.873672207999334,55.84673012499843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Time,Reason,Abstract,0,5,5,9,,,,,55.860618499998964,,,,,,,,,,,,,55.847054624999146,55.860618499998964,60.84729320800034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Tree,Flower,Concrete,0,6,6,3,,,,,60.85730070799764,,,,,,,,,,,,,60.847622375000356,60.85730070799764,65.84148670799914,65.85224299999754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Thought,Perspective,Abstract,0,7,7,10,,,,,65.85224299999754,,,,,,,,,,,,,65.84179025000049,65.85224299999754,70.84191483299946,70.85354091599947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
