Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instructions.stopped,trial.started,text.started,trial.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,distractor_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,distractor_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_5.text,textbox_4.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall_task.started,key_resp.started,word_display.started,textbox_6.started,recall_task.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.06579720900117536,0.08015337500000896,0.08015337500000896,23.615150958999948,space,23.496370917000604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
,,,,,,,,,,,,,,,,,,,,23.615185709000798,23.626813791999666,28.615484208999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Table,Book,Concrete,0,0,0,2,,,,,28.652134042000398,,,,,,,,,,,,28.64016733400058,28.652134042000398,33.615872959000626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Desk,Computer,Concrete,0,1,1,5,,,,,33.628999667000244,,,,,,,,,,,,33.61618699999963,33.628999667000244,38.61627750000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Emotion,Concept,Abstract,0,2,2,11,,,,,38.62703862499984,,,,,,,,,,,,38.61656299999959,38.62703862499984,43.61621191700033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Thought,Perspective,Abstract,0,3,3,10,,,,,43.62752529200043,,,,,,,,,,,,43.61655445900033,43.62752529200043,48.616519708999476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Car,House,Concrete,0,4,4,1,,,,,48.62776762500107,,,,,,,,,,,,48.616789334000714,48.62776762500107,53.61679333400025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Time,Reason,Abstract,0,5,5,9,,,,,53.629046666999784,,,,,,,,,,,,53.61707387500064,53.629046666999784,58.617053416999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Love,Hate,Abstract,0,6,6,8,,,,,58.62854116699964,,,,,,,,,,,,58.61733058400023,58.62854116699964,63.61719783400076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Tree,Flower,Concrete,0,7,7,3,,,,,63.6285785,,,,,,,,,,,,63.61746908399982,63.6285785,68.61651570899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
