Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instruction.stopped,instructions.stopped,trial.started,text.started,trial.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,distractor_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,textbox_5.started,polygon_5.stopped,textbox_5.stopped,distractor_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_5.text,textbox_4.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall_task.started,key_resp.started,word_display.started,textbox_6.started,recall_task.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,0.0612205,0.080344166,0.080344166,12.904734583004029,space,12.741812500004016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
,,,,,,,,,,,,,,,,,,,,12.904775415998301,12.911940333004168,17.934619416002533,17.899032665998675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Freedom,Society,Abstract,0,0,0,6,,,,,17.934619416002533,,,,,,,,,,,,,17.92229325000517,17.934619416002533,22.909293415999855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Desk,Computer,Concrete,0,1,1,5,,,,,22.921512332999555,,,,,,,,,,,,,22.909592166004586,22.921512332999555,27.909317041005124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Love,Hate,Abstract,0,2,2,8,,,,,27.92182133,,,,,,,,,,,,,27.90971395800443,27.92182133,32.91014975000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Table,Book,Concrete,0,3,3,2,,,,,32.92140245799965,,,,,,,,,,,,,32.910415833001025,32.92140245799965,37.90970533300424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Emotion,Concept,Abstract,0,4,4,11,,,,,37.91916020800272,,,,,,,,,,,,,37.90996254100173,37.91916020800272,42.90972691600473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Tree,Flower,Concrete,0,5,5,3,,,,,42.91958237500512,,,,,,,,,,,,,42.90997541600518,42.91958237500512,47.910359541005164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Car,House,Concrete,0,6,6,1,,,,,47.92016867,,,,,,,,,,,,,47.91059554100502,47.92016867,52.911123791003774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
Lamp,Chair,Concrete,0,7,7,0,,,,,52.92093987500266,,,,,,,,,,,,,52.91139216600277,52.92093987500266,57.91097766600433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sejal,001,2024-12-03_21h21.22.844,word pair visual,2024.1.5,None,2024-12-03 21h23.39.338330 +0530
