Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instructions.stopped,trial.started,text.started,trial.stopped,text.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,distractor_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,distractor_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_5.text,textbox_4.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall_task.started,key_resp.started,word_display.started,textbox_6.started,recall_task.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.03846733299906191,0.05316445799871872,0.05316445799871872,38.89833879199978,space,38.841906916999505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
,,,,,,,,,,,,,,,,,,,,38.89838462499938,38.91894449999927,43.90392645799875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Thought,Perspective,Abstract,0,0,0,10,,,,,43.94157470800019,,,,,,,,,,,,43.929435832998934,43.94157470800019,48.9052857079987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Freedom,Society,Abstract,0,1,1,6,,,,,48.91773900000044,,,,,,,,,,,,48.905679249999594,48.91773900000044,53.90436987499925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Phone,Pen,Concrete,0,2,2,4,,,,,53.91434058300001,,,,,,,,,,,,53.90469783299886,53.91434058300001,58.89857291699991,58.91053479199945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Equality,Justice,Abstract,0,3,3,7,,,,,58.91053479199945,,,,,,,,,,,,58.89885229199899,58.91053479199945,63.898584999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Desk,Computer,Concrete,0,4,4,5,,,,,63.91148945799978,,,,,,,,,,,,63.89886620799916,63.91148945799978,68.89888354199866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Time,Reason,Abstract,0,5,5,9,,,,,68.91095179199874,,,,,,,,,,,,68.89921266700003,68.91095179199874,73.89955004199874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Table,Book,Concrete,0,6,6,2,,,,,73.91093754199937,,,,,,,,,,,,73.89980687499883,73.91093754199937,78.89923366699986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
Lamp,Chair,Concrete,0,7,7,0,,,,,78.91099454199866,,,,,,,,,,,,78.89956612499918,78.91099454199866,83.89896212500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuti ,001,2024-12-03_11h34.14.521,word pair visual,2024.1.5,None,2024-12-03 11h34.30.978878 +0530,
