Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instruction.stopped,instructions.stopped,trial.started,text.started,trial.stopped,text.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,distractor_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,distractor_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_5.text,textbox_4.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall_task.started,key_resp.started,word_display.started,textbox_6.started,recall_task.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,0.060785875,0.091096166,0.091096166,52.46442591599771,space,52.28049095800088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
,,,,,,,,,,,,,,,,,,,,52.464502957998775,52.47204624999722,57.49944666599913,57.46360295799968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Tree,Flower,Concrete,0,0,0,3,,,,,57.49944666599913,,,,,,,,,,,,,57.487474041001406,57.49944666599913,62.468057999998564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Car,House,Concrete,0,1,1,1,,,,,62.47966620799707,,,,,,,,,,,,,62.46838216600008,62.47966620799707,67.46398116600176,67.47402695799974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Freedom,Society,Abstract,0,2,2,6,,,,,67.47402695799974,,,,,,,,,,,,,67.46424479100097,67.47402695799974,72.46377979100362,72.47537441599707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Equality,Justice,Abstract,0,3,3,7,,,,,72.47537441599707,,,,,,,,,,,,,72.46409562500048,72.47537441599707,77.46385466599895,77.47513162499672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Lamp,Chair,Concrete,0,4,4,0,,,,,77.47513162499672,,,,,,,,,,,,,77.46414008300053,77.47513162499672,82.46357870799693,82.47553558299842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Desk,Computer,Concrete,0,5,5,5,,,,,82.47553558299842,,,,,,,,,,,,,82.46386441600043,82.47553558299842,87.46433158300351,87.47497520800243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Thought,Perspective,Abstract,0,6,6,10,,,,,87.47497520800243,,,,,,,,,,,,,87.46459967,87.47497520800243,92.46485195800051,92.47451212500164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Love,Hate,Abstract,0,7,7,8,,,,,92.47451212500164,,,,,,,,,,,,,92.46511320800346,92.47451212500164,97.46487791599793,97.47518141599721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Phone,Pen,Concrete,0,8,8,4,,,,,97.47518141599721,,,,,,,,,,,,,97.46514937499887,97.47518141599721,102.46463229099754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Table,Book,Concrete,0,9,9,2,,,,,102.4758412500014,,,,,,,,,,,,,102.46489666600246,102.4758412500014,107.46461741600069,107.47579583300103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Time,Reason,Abstract,0,10,10,9,,,,,107.47579583300103,,,,,,,,,,,,,107.46491854100168,107.47579583300103,112.46536295799888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Emotion,Concept,Abstract,0,11,11,11,,,,,112.4748193330015,,,,,,,,,,,,,112.46559395799704,112.4748193330015,117.46567270800006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.46573958299996,117.47219795799901,126.46601158299745,126.45615491599892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.45618800000375,126.46601158299745,131.46031666600175,131.46031666600175,134.4648269160025,134.4648269160025,139.47337849999894,139.47337849999894,141.4646362909989,142.46584391599754,146.45443916600198,147.45964612499665,150.46190637499967,150.46190637499967,155.45605554099893,155.45605554099893,158.45100495799852,158.46569216599892,163.45494524999958,164.45995391599718,167.46277012499922,167.46277012499922,172.45764775000134,172.4515458,t,s,r,s,p,,,,,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.4515967499974,172.45764775000134,180.47269158300332,180.44166387499718,,,,,,,,,,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Emotion,Concept,Abstract,,,,,0,0,0,11,180.47269158300332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.45372708299692,180.47269158300332,180.47269158300332,180.47269158300332,222.53780816600192,space,42.058749041003466,None,perspective,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Lamp,Chair,Concrete,,,,,0,1,1,0,222.55704262499785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.5393087909979,222.55704262499785,222.55704262499785,222.55704262499785,233.32116491600027,space,10.760859458001505,None, chair,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Desk,Computer,Concrete,,,,,0,2,2,5,233.33768791599869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.3216037500024,233.33768791599869,233.33768791599869,233.33768791599869,240.8329235830024,space,7.4857517080017715,None,computer,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Freedom,Society,Abstract,,,,,0,3,3,6,240.84595450000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.83336145799694,240.84595450000052,240.84595450000052,240.84595450000052,262.4643927080033,space,21.613233249998302,None,nation,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
Thought,Perspective,Abstract,,,,,0,4,4,10,262.4832114160017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.46497962500143,262.4832114160017,262.4832114160017,262.4832114160017,269.01529645799747,space,6.525749499996891,None, process,Supal,001,2024-12-03_21h29.56.867,word pair visual,2024.1.5,None,2024-12-03 21h30.50.853294 +0530
