Participant,Word_Pair,Condition,Response_Accuracy,Word_Pair_Category
A,Love-Hate,Abstract,1,1
A,Tree-Flower,Concrete,0,2
A,Thought-Perspective,Abstract,0,3
A,Freedom-Society,Abstract,1,4
A,Emotion-Concept,Abstract,0,5
A,Table-Book,Concrete,0,6
A,Equality-Justice,Abstract,0,7
A,Car-House,Concrete,1,8
A,Time-Reason,Abstract,0,9
A,Phone-Pen,Concrete,1,10
A,Desk-Computer,Concrete,0,11
A,Lamp-Chair,Concrete,1,12
B,Thought-Perspective,Abstract,0,3
B,Freedom-Society,Abstract,1,4
B,Table-Book,Concrete,0,6
B,Phone-Pen,Concrete,1,10
B,Tree-Flower,Concrete,1,2
B,Desk-Computer,Concrete,0,11
B,Car-House,Concrete,1,8
B,Time-Reason,Abstract,0,9
B,Equality-Justice,Abstract,1,7
B,Lamp-Chair,Concrete,0,12
B,Emotion-Concept,Abstract,0,5
B,Love-Hate,Abstract,1,1
C,Thought-Perspective,Abstract,0,3
C,Table-Book,Concrete,0,6
C,Emotion-Concept,Abstract,0,5
C,Lamp-Chair,Concrete,0,12
C,Freedom-Society,Abstract,1,4
C,Car-House,Concrete,0,8
C,Phone-Pen,Concrete,0,10
C,Equality-Justice,Abstract,0,7
C,Time-Reason,Abstract,0,9
C,Desk-Computer,Concrete,0,11
C,Tree-Flower,Concrete,0,2
C,Love-Hate,Abstract,1,1
D,Car-House,Concrete,1,8
D,Lamp-Chair,Concrete,0,12
D,Love-Hate,Abstract,1,1
D,Table-Book,Concrete,0,6
D,Desk-Computer,Concrete,1,11
D,Equality-Justice,Abstract,1,7
D,Freedom-Society,Abstract,1,4
D,Phone-Pen,Concrete,1,10
D,Emotion-Concept,Abstract,1,5
D,Thought-Perspective,Abstract,0,3
D,Tree-Flower,Concrete,1,2
D,Time-Reason,Abstract,0,9
E,Lamp-Chair,Concrete,0,12
E,Table-Book,Concrete,0,6
E,Freedom-Society,Abstract,0,4
E,Desk-Computer,Concrete,0,11
E,Thought-Perspective,Abstract,0,3
E,Tree-Flower,Concrete,0,2
E,Love-Hate,Abstract,0,1
E,Equality-Justice,Abstract,0,7
E,Emotion-Concept,Abstract,0,5
E,Time-Reason,Abstract,0,9
E,Phone-Pen,Concrete,0,10
E,Car-House,Concrete,0,8
F,Equality-Justice,Abstract,0,7
F,Lamp-Chair,Concrete,0,12
F,Table-Book,Concrete,1,6
F,Desk-Computer,Concrete,1,11
F,Phone-Pen,Concrete,1,10
F,Emotion-Concept,Abstract,0,5
F,Thought-Perspective,Abstract,0,3
F,Car-House,Concrete,0,8
F,Freedom-Society,Abstract,0,4
F,Time-Reason,Abstract,0,9
F,Love-Hate,Abstract,1,1
F,Tree-Flower,Concrete,0,2
G,Table-Book,Concrete,0,6
G,Phone-Pen,Concrete,1,10
G,Freedom-Society,Abstract,0,4
G,Tree-Flower,Concrete,1,2
G,Desk-Computer,Concrete,1,11
G,Love-Hate,Abstract,1,1
G,Lamp-Chair,Concrete,1,12
G,Car-House,Concrete,0,8
G,Emotion-Concept,Abstract,0,5
G,Time-Reason,Abstract,1,9
G,Thought-Perspective,Abstract,0,3
G,Equality-Justice,Abstract,1,7
H,Emotion-Concept,Abstract,0,5
H,Phone-Pen,Concrete,1,10
H,Desk-Computer,Concrete,1,11
H,Time-Reason,Abstract,0,9
H,Tree-Flower,Concrete,0,2
H,Equality-Justice,Abstract,1,7
H,Lamp-Chair,Concrete,1,12
H,Car-House,Concrete,1,8
H,Thought-Perspective,Abstract,0,3
H,Freedom-Society,Abstract,0,4
H,Table-Book,Concrete,0,6
H,Love-Hate,Abstract,1,1
I,Lamp-Chair,Concrete,1,12
I,Emotion-Concept,Abstract,0,5
I,Freedom-Society,Abstract,0,4
I,Car-House,Concrete,1,8
I,Tree-Flower,Concrete,1,2
I,Love-Hate,Abstract,1,1
I,Desk-Computer,Concrete,1,11
I,Phone-Pen,Concrete,1,10
I,Table-Book,Concrete,1,6
I,Time-Reason,Abstract,0,9
I,Thought-Perspective,Abstract,1,3
I,Equality-Justice,Abstract,1,7
J,Emotion-Concept,Abstract,0,5
J,Lamp-Chair,Concrete,1,12
J,Desk-Computer,Concrete,1,11
J,Freedom-Society,Abstract,0,4
J,Thought-Perspective,Abstract,0,3
J,Car-House,Concrete,1,8
J,Table-Book,Concrete,1,6
J,Love-Hate,Abstract,1,1
J,Equality-Justice,Abstract,0,7
J,Phone-Pen,Concrete,1,10
J,Time-Reason,Abstract,0,9
J,Tree-Flower,Concrete,1,2
